CHANNEL,CHANNEL_GROUP,BUDGET,GRPS,IMPRESSIONS
TV ads,Broadcast,6932500,778.37175810,364868421.10
AVOD ads,Broadcast,4798398,853.03296380,399866500.00
Online video ads,Digital,611414,260.86521200,122282800.00
Internet search,Digital,860411,203.94555170,95601222.22
YouTube ads,Digital,1544597,549.18002080,257432833.30
Facebook ads,Social network,2820000,802.11869310,376000000.00
Instagram ads,Social network,2820000,802.11869310,376000000.00
TikTok ads,Social network,900000,295.37922410,138461538.50
Direct mail,Direct,14000,24.88843463,11666666.67
Search on retailer's website,Retail,10382848,2578.54149700,1208713388.00
Promotions on retailer website,Retail,11085610,1576.59131300,739040666.70
Affiliate / Ambassador,Influence,136547,291.29495000,136547000.00
Reviews / recommendations - influencers,Influence,4093675,429.14073410,201163390.70
