CHANNEL,CHANNEL_GROUP,BUDGET,GRPS,IMPRESSIONS
TV ads,Broadcast,6993304,785.19874930,368068631.60
AVOD ads,Broadcast,4053864,720.67377960,337822000.00
Online video ads,Digital,592836,252.93874340,118567200.00
Internet search,Digital,834267,197.74856850,92696333.33
YouTube ads,Digital,1544597,549.18002080,257432833.30
Facebook ads,Social network,2125520,604.58132080,283402666.70
Instagram ads,Social network,2125520,604.58132080,283402666.70
TikTok ads,Social network,656277,215.38954560,100965692.30
Direct mail,Direct,18376,32.66784819,15313333.33
Search on retailer's website,Retail,10382848,2578.54149700,1208713388.00
Promotions on retailer website,Retail,12167026,1730.38989300,811135066.70
Affiliate / Ambassador,Influence,132399,282.44604480,132399000.00
Reviews / recommendations - influencers,Influence,5373166,563.27002060,264037641.30
